Sno,Title,Date,User,text
2290,Ao Ashi,2022-12-05,YudiYusantoS,Here is my review of this anime in 2022! Story (10) The story is about a boy who only wants to play soccer ball and become a professional. But sadly
2291,Yojouhan Time Machine Blues,2022-12-05,Steamwood,"If you liked The Tatami Galaxy, then this will be a nice little romp with the fun group you liked before with a couple alterations (Jogasaki is a little more"
2292,High School DxD Hero,2022-12-05,Thatwaffle,Wow my first proper ecchi show complete. I was honestly going to give this season the lowest rating out of all of them but just couldnt after that last arc
2293,Yuu☆Yuu☆Hakusho,2022-12-05,RegisMajestic,"YuYu Hakusho is not perfect but it's one hell of an anime. As I write this, I'm rewatching this show yet again because of how good it is. The animation"
2294,Doujin Work,2022-12-05,SgtSalamander,"Ok, I'll admit it. I'm a sucker for mid-2000s Slice of Life anime. I adore the aesthetic, the humor, even the often formulaic plot lines, I'm a big fan of"
2295,Soredemo Ayumu wa Yosetekuru,2022-12-05,Inanitina,Before I began to watch Soredemo Ayumu wa Yosetekuru I had already watched Karakai Jouzu no Takagi-san (all three seasons) and Kunoichi Tsubaki no Mune no Uchi. The original plots
2296,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,2022-12-05,ImmaBigToy,"The show is not really that good, it’s just super funny becuase he’s a loser lol The 2 main characters are both losers who talk funny becuase they have no"
2297,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,2022-12-05,Smashdragon11,"\"\"\"IF THERE'S NO MICKEY"
2298,The First Slam Dunk,2022-12-05,HaiKaneDesu,Never read a single chapter of Slam Dunk in my life and absolutely hate basketball because you can't double dribble. Yet this film was 100% worth watching. All the players
2299,"Kumo desu ga, Nani ka?",2022-12-05,WhimsicalRealist,"Overall, the anime is good, but shallow. The universe for this story is incredibly compelling, gritty, and has a cruel realism to it that highlights difficult ethical problems in interesting"
2300,Steins;Gate,2022-12-05,TyrantAnaconda,"I've been wanting to make a review to this series for a long time. Sooner would've been better though. Anyway, Steins;Gate is a mostly character-driven anime with a well-constructed plot,"
2301,Urusei Yatsura (2022),2022-12-05,atj2085,"\"Mark Twain said it best when he commented about Urusei Yatsura in the 19th century: \"\"Persons attempting to find a motive in this narrative will be prosecuted; persons attempting to\""
2302,Yuu☆Yuu☆Hakusho,2022-12-05,orenjijuice,"\"You know that scene, in the final episode, the one where Koenma asks \"\"they're a good bunch"
2303,Steins;Gate,2022-12-05,Ludwig_Anarcheon,"Plot: 9.75 - The embodiment of perfection, the gateway to nirvana, the steins;gate path. Perhaps the most perfect anime imo, from perfectly written characters to perfectly written dialogues. One of"
2304,Fullmetal Alchemist: Brotherhood,2022-12-05,Ludwig_Anarcheon,"Plot: 8.75 - Incredible character and plot development, the entire build-up to the final boss was also very well done. One of the better things this anime does is create"
2271,Kyonyuu Fantasy,2022-12-06,GonzoLewd,"I'm easy to please, especially with pornographic material. As long as it is competent in giving what you want in a pretty package, I will enjoy it. Yet, even when"
2272,Tu Bian Ying Xiong Leaf,2022-12-06,talbi,"Writing this review partially to clear up something: there are some people who are confused because the series is listed as having 12 episodes, but there are only 7 if"
2273,Shoujo☆Kageki Revue Starlight,2022-12-06,whatsosticky,Quick note: not Yuri as listed in so many million places I found this quite entertaining. It was intense and it stayed right on par and high with drama and
2274,Long Zu,2022-12-06,tofukid,"This is one of the best donghua I have seen and it deserves to be more popular than it currently is. Story: The protagonist, Lu Mingfei is a nerd loser"
2275,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,2022-12-06,ismichi,"A far more entertaining, albeit unexpected continuation of one of the best isekai series out there. Both the first and second seasons kept the majority of their respective major events"
2276,Eve no Jikan (Movie),2022-12-06,ggultra2764,"Set in the near future, Time of Eve explores the interactions between humans and androids as the latter have come into common use for humanity’s conveniences. High school student Rikuo"
2277,Tokyo Magnitude 8.0,2022-12-06,WDUNE,"I have always loved visual works that are based on true stories. In my opinion, the story had unnecessary parts that should've been shortened, but considering that 11 episodes are"
2278,Initial D First Stage,2022-12-06,Vleugel7,"Do you like cars? Do you like street racing? Do you like drifting, 90's music, nostalgia, or even tofu? You're so stupid, go watch this show. Yes, the first season's"
2279,Shingeki no Kyojin Season 2,2022-12-06,magnifiques,Season 2 explains why you should trust your comrades cautiously. This season has only 12 episodes and has no fillers. Anime goes straight to the point and I believe the
2280,Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,2022-12-06,Nunyuh_Business,I first watched this in middle school after seeing a walkthrough of the video game and I absolutely hated it. I had nightmares for weeks afterward (I realized years later
2281,Shinobi no Ittoki,2022-12-06,afmha,"Although the first few chapters are a bit fast and superficial with storytelling, the story starts to become more interesting after 5-6 chapters. I enjoyed watching the story but the"
2282,Bocchi the Rock!,2022-12-06,CaptainK48000,"Bocchi the rock is one of if not the best anime recently, if this anime isn't anime of the season or of the year I'm losing hope in humanity. The"
2283,Shi Cao Lao Long Bei Guan Yi E Long Zhi Ming,2022-12-06,YudiYusantoS,Here is my review of this anime in 2022! Story (9) The story is about a dragon who's a vegetarian and is worshipped by humans as an evil dragon. But
2284,Salamander,2022-12-06,Mandalorian,"I genuinely don’t understand why does this anime have such a low score and such a small community (at the moment of writing this review, the score is 5,83 based"
2285,Mahoutsukai no Yome,2022-12-06,Ludwig_Anarcheon,"Plot: 8 - Given the subject the story covers, it is incredibly well done. Each character is given an appropriate backstory, and their future development is also outlined. The story"
2286,Kawaii dake ja Nai Shikimori-san,2022-12-06,danjcap,Shikimori's Not Just a Cutie is a highly specific type of anime. It is in no way deceptive about what it is and delivers exactly what it sets out to
2287,Great Teacher Onizuka,2022-12-06,danjcap,"Upon starting GTO, my impression was rather mixed. Onizuka, the protagonist, came off as ethically questionable despite some of his more likable aspects. Primarily, his fantasizing about minors came off"
2250,The Sky Crawlers,2022-12-07,Pingu_the_weeb,"\"\"\"𝙃𝙤𝙬 𝙙𝙤 𝙮𝙤𝙪 𝙧𝙚𝙘𝙤𝙣𝙘𝙞𝙡𝙚 𝙮𝙤𝙪𝙧 𝙢𝙚𝙢𝙤𝙧𝙞𝙚𝙨 𝙬𝙞𝙩𝙝 𝙩𝙝𝙚 𝙚𝙣𝙙𝙡𝙚𝙨𝙨 𝙧𝙚𝙥𝙚𝙩𝙞𝙩𝙞𝙤𝙣 𝙤𝙛 𝙩𝙝𝙚 𝙥𝙧𝙚𝙨𝙚𝙣𝙩?\"\" A heartbreaking relationship between two immortal beings"
2251,Shuumatsu no Walküre,2022-12-07,WizardKing999,"When I say I have never been more hyped to start watch an anime, I mean it. Record of Ragnarök has to be the most fun I've had watching an"
2252,Vanitas no Karte,2022-12-07,Viette,(This is also a review for part 2 idk why I have too make 2 separate posts) This is a straight anime for gay people. My friend and I started
2253,Isekai Meikyuu de Harem wo,2022-12-07,LeonMagnum,I'd Recommend it in spades. Nothing like it. Absolutely unique. The animation was Fair and fit the manga at the very least. Totally gonna get both anime and the reads
2254,Super Cub,2022-12-07,OG_Otaku,"Just the facts. This anime is a gem. Maybe a diamond in the rough, but a gem. It is an outstanding slice of life. There is iyashikei. There are cute"
2255,Kage no Jitsuryokusha ni Naritakute!,2022-12-07,backind,"\"Man, what an amazing anime, for an 18-year-old \"\"kid\"\" like me who loves badass stuff"
2256,Michiko to Hatchin,2022-12-07,CorrectorYui,"This show is very fun to watch. Despite the lack of a real cohesive plot, Michiko and Hatchin has great fights, great voice acting, and super fitting music. The art"
2257,Chainsaw Man,2022-12-07,cubecrow,"Chainsaw man is one of my favorite manga I have ever read, and I am so hyped to see all my favorite scenes animated! It combines comedy and brutality incredibly"
2258,Id:Invaded,2022-12-07,Animexgirl22194,"Hey this is my first review, but this show deserves it, so I decided I write one. It started out slowish, and it was introducing a lot of the ideas,"
2259,Tsuki ga Michibiku Isekai Douchuu,2022-12-07,_Chyrion_,"While I enjoyed my time with this anime, I don’t have too much to say on Tsukimichi - Moonlit Fantasy. Does it carry tired tropes other isekais do? Technically yes,"
2260,Tenkuu Shinpan,2022-12-07,RubanS,Underrated show. The premise may seem like a typical survival game but the setting is unique (and also sort of like a fever dream for some weird reason). The plot
2261,Sasaki to Miyano,2022-12-07,Eyal_Oged,"I'll start with that, there is continuation after the couple gets together. The manga is currently covering it and still running, and a movie is planned for this series in"
2262,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,2022-12-07,EmpireDeLuna,It carries the biggest and the most mature concept out of all Jojo's part so far. And thus making it the most expository and the part with the most complicated
2263,Neon Genesis Evangelion,2022-12-07,Northonvoid_doog,"Hideaki ano is, and will always be hailed as the genius who changed the animation industry, becoming a reference for many, not by chance many animes began to resemble evangelion"
2264,"Kanojo, Okarishimasu 2nd Season",2022-12-07,ArcticUser0,"The right mindset is required when watching this show. The plot of KanoKari is barely important to enjoy what's going on, because this isn't a romance, it's a comedy. It's"
2265,Poputepipikku 2nd Season,2022-12-07,Qyubey,"\"If the concept of creative freedom has a raw material form, it must look like season one of \"\"Pop Team Epic\"\" - unfiltered"
2266,Sword Art Online: Progressive Movie - Kuraki Yuuyami no Scherzo,2022-12-07,Ruseee,"Far better than prequel, bc it's actually 100% new untold story gives us so many kind of senses and feelings to the story of groups of people who having their"
2267,Meitantei Conan: Hannin no Hanzawa-san,2022-12-07,carly0v0,"As a big fan of Detective Conan who watches 1000 episodes of the original series, I love this show. It is hilarious and got all the gags that as a"
2268,Tokyo Godfathers,2022-12-07,MrYandereFan26,Score: 8.5/10 This is my second time watching this anime movie and I’m actually glad I got to rewatch it because there was a lot about it I had forgotten.
2269,Suzumiya Haruhi no Shoushitsu,2022-12-07,MrYandereFan26,Score: 10/10 Best Girl: Haruhi of course! 100%! Rewatching this film was a delight. It hit all the marks I wanted to see perfectly. If you wish to watch the
2270,Chainsaw Man,2022-12-07,ericosg,Reviews with mixed feelings saying it did not live up to the hype are the sole reason I am writing my first review on MAL. Having watched the first 9
2229,Ben-To,2022-12-08,HetakuSoda,"Ben-To is the quintessential anime. If you asked any weeb what traits are common to anime, chances are Ben-To would have everything they listed. Epic fights, enemies to allies/rivals, cute"
2230,Ramen Daisuki Koizumi-san,2022-12-08,annisapuzianti,"I didn't expect that I had finished the anime recommended by a blog. At first, I was looking for some anime to recommend when I liked the slice-of-life and cooking"
2231,Yuukoku no Moriarty,2022-12-08,Thatwaffle,Simply amazing. I don't even know where to begin. This was the first show I've ever watched after reading the Mange beforehand and it didn't disappoint. I unfortunately have no
2232,Naruto: Shippuuden,2022-12-08,Justinian05,"This anime is incredible, one of the best ninja stories of the entire century. Something so motivating, inspiring and beautiful that is considered a classic in the world of animation."
2233,Serial Experiments Lain,2022-12-08,Akir4a,"This anime is considered a classic, no wonder, because in fact it is revolutionary both for its time and for today. Serial Experiments Lain has a complex history, its episodes"
2234,Huang Yan,2022-12-08,Khashishi,I'm going to have to put this up there with Link Click and Mo Dao Zu Shi as shining masterpieces of donghua. I was left after the end with that
2235,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,2022-12-08,Morpheus935,"It would be so easy to continue talking about the flaws that Netflix' handling of this anime has (mostly) caused. The inconsistent animation, the batch releases killing most discussions, the"
2236,Fumetsu no Anata e 2nd Season,2022-12-08,GGarrus,"I loved S1, The first season was great, filled with emotion and sorrow, and great pacing with great characters to boot, with great development at that. The second season doesn't"
2237,Cardcaptor Sakura,2022-12-08,Hon3yPie,"(sorry for any mistakes, english is not my first language) I rewatched Cardcaptor Sakura these days because the anime marked my childhood along with sailor moon, it was one of"
2238,Noragami,2022-12-08,IgnitedJesus,An extremely well put together story with so many elements all coming together in a way that fits near perfectly. Plot: Yato is a low-class god who just wants to
2239,Bumblebee Hajimete no Chikyuu Seikatsu,2022-12-08,PorthosMoonPower,"This is a series of three shorts about the relationship between Bumblebee and Charlie from the 2018 Bumblebee film. Although it's in Japanese, with no English dub available, it's easy"
2240,Hyouka,2022-12-08,KruppPanzerIV-J,"This show was quite enjoyable, is likely to be enjoyable for 90% of the people that will watch it. No spoilers. The show has great characters and character development, makes"
2241,Chainsaw Man,2022-12-08,audioxtc,"This may be preliminary, but that doesn’t matter. Just one or two episodes of Chainsaw Man was all I needed to make up my mind. I haven't read the manga,"
2242,Tenshi Kinryouku,2022-12-08,Josiel-Sama,"\"A very critical work in my view, as it contradicts everything we are taught through the bible, where the \"\"good guys\"\" would be demons instead of angels. And all the\""
2243,Chainsaw Man,2022-12-08,kylieqnn,I had a lot of fear going into this one as I'm generally cynical of a lot of new anime. This blew all my expectations out of the water. Boy
2244,Romantic Killer,2022-12-08,algoPotaku,"The anime is a romantic comedy, where the protagonist has to fall in love with someone but she doesn't want to. From this the story develops. Although the plot seems"
2245,Uchuu Patrol Luluco,2022-12-08,SgtSalamander,"Space Patrol Luluco is a weird little romp tailor-made for the Studio Trigger superfan. Even if you're not, it's funny, flashy, and frantic, and with such a short runtime the"
2246,Xing Hai Qishi,2022-12-08,WuXu,Story: 7/10 When a mysterious asteroid with mysterious powers falls on to the earth then a group of scientists must travel to the origin planet of this asteroid to find
2247,Oemojisangjuui,2022-12-08,peakgermany,"Significantly better than anticipated! Netflix Anime's have a stigma of having bad animation and adapting source material in a questionable way, but for Lookism and some other recent projects that"
2248,Chainsaw Man,2022-12-08,CubicEssic,"Overview: So far, I've watched until Episode 9. And its a masterpiece, the clean-ecchi balance is perfect (I'm pretty sure) and the adaptation from Manga to Anime has little problems"
2249,Kaze no Tani no Nausicaä,2022-12-08,animegirlblood,"A thousand years after the collapse of industrial society, most of the world consists of deserts and toxic jungles. A small village lives in harmony with the Earth and giant"
2217,Kakurenbo (2012),2022-12-09,KainiusTheGreat,"\"There really isn't a whole lot to this 30 minute \"\"movie\"\" but what's there is decent enough. If you're into spooky horror you may even get a little more mileage\""
2218,Deaimon,2022-12-09,IgnitedJesus,"Deaimon is something to fill your heart A simple face, hiding a deeper and meaningful story with some elaborate characters and loving relationship dynamics Plot: Nagomu, after leaving home for"
2219,Oemojisangjuui,2022-12-09,epic_paras,"I thought it's just a normal anime but but........ It's really good the story is unique The storyline, Art and Characters are all really good In the end the song"
2220,Kanata no Astra,2022-12-09,Ludwig_Anarcheon,"Plot: 8.5 - Excellent plot and problem progression, beautiful character development and central idea. - It's hard to fault this anime for much besides the cohesiveness, events at times took"
2221,Mahoutsukai no Yome,2022-12-09,DewDue,A truly enchanting fantasy to lose yourself in if you can work around the pacing problems and other inconsistencies. What catches the eyes of many bidders are not the fantastical
2222,One Piece,2022-12-09,M0nTag3,"At the time of writing this, One Piece currently has a maximum of 1043 episodes. To the future people reading my review, I'd like you to know that I took"
2223,Koi wa Sekai Seifuku no Ato de,2022-12-09,Elhwing,"Pretty lovely anime, easy to watch, easy to get into the story. This anime is a mix between romance & comedy, however, unlike many other animes, it's equally balanced between"
2224,Oemojisangjuui,2022-12-09,jahjahjah,THE ANIMATION EXCEEDS MY AND MAYBE YOUR EXPECTATIONS TOO. I HOPE STUDIO MIR WILL CONTINUE ANIMATING IT UP TO THE LATEST CHAPTER IN WEBTOON AS WE NEED MORE SEASONS AND
2225,Anime de Wakaru Shinryounaika,2022-12-09,Jakitsune,"This thing is great fun! It is fast paced, it has some legitimate information about various conditions (it's no documentary though, it's just a bit of comedy!). There's limited character"
2226,Oemojisangjuui,2022-12-09,Azakami_Fumetsu,Do watch it if you like MC beating crap out of bullies doing body switch at school. New thing to see animated is actually good stop watching battle shonen and
2227,Shiguang Dailiren,2022-12-09,xntla,"The animation is flawless, and the character designs and characters as a whole are beautifully written. Link Click is a distinctive donghua with a plot that grants the main character"
2228,"Yuusha, Yamemasu",2022-12-09,Ludwig_Anarcheon,"Plot: 7.25 - Unique idea which had a lot more potential, the story in general covers a lot of themes in a short span of time. 6 Characters including the"
2193,The Big O,2022-12-10,orcsamizdat,"\"a true noir, and tonally perfect in that regard (think \"\"the third man\"\"). not super concerned with answering questions"
2194,Blue Lock,2022-12-10,Mr_Popepo,"Blue Lock takes a different take to sports anime, where it's all about developing your own skills and whoever has the biggest ego can evolve to take the spotlight. It's"
2195,Ashita no Joe 2,2022-12-10,MauricioSwag,Beautiful.. Ashita no joe 1 and 2 are a pure and unadulterated story about both passion and the human experience both at its worst and best. no filler and uses
2196,Tsubasa: Tokyo Revelations,2022-12-10,Animelover875,"At first glance Tsubasa: Tokyo Revelations is exactly what the anime needed: a manga canon follow-up on the Tokyo arc, which was replaced by a rather confusing ending to the"
2197,Bocchi the Rock!,2022-12-10,Kobushiabiru,The author very clearly has real life experiences that shine through in Bocchi the Rock! Disregard any first impression of this anime following a K-On! format. It heavily follows Bocchi's
2198,Ouran Koukou Host Club,2022-12-10,winsmoke124,"Ouran Highschool Host Club; this anime - both good in dub and sub - really surpasses your expectations within the first couple of episodes. At first, you would think that"
2199,Human Bug Daigaku,2022-12-10,Nomad_00,"\"i quite like the story so far, the description and title is wrong though lol, there is no \"\"university\"\" at all. its about a guy with horribly bad luck and\""
2200,High Score Girl,2022-12-10,cowboypalmon,"There are two main things about this anime that make it deserving of the masterpiece rating, this anime is not groundbreaking, it's themes are not world-shattering, but it doesn't need"
2201,Akuyaku Reijou nano de Last Boss wo Kattemimashita,2022-12-10,PanJean17,Taming the Final Boss has the pacing and plot-progression I was waiting for and never quite got from the second season of HameFura. While it follows a lot of the
2202,Akuyaku Reijou nano de Last Boss wo Kattemimashita,2022-12-10,aoisaku,Just finished watching this anime and felt that it was actually pretty good in terms of likable characters and interesting plot lines. This was not originally on my watch list
2203,Akuyaku Reijou nano de Last Boss wo Kattemimashita,2022-12-10,bossunhimeswitch,"This was one of the anime I looked forward to watching every week during its cour. The lead was interesting, cunning, and daring. Her adversary was sneaky and also cunning."
2204,Oemojisangjuui,2022-12-10,Gutchie21,If you have read the WEBTOON and enjoyed it you will most likely enjoy this anime. I wasn’t expecting much since Netflix is usually a hit or a complete miss
2205,Cool Doji Danshi,2022-12-10,xiecake,"This anime should 100% not be taken too seriously, it's light-hearted and doesn't deal with anything serious, which is a positive! I had read a few chapters of the manga"
2206,Akuyaku Reijou nano de Last Boss wo Kattemimashita,2022-12-10,TheAsterNaut,"I'm the Villainess, So I'm Taming the Final Boss is not an original idea of an 'otome game isekai', but it feels like it's done better than the others I've"
2207,Akuyaku Reijou nano de Last Boss wo Kattemimashita,2022-12-10,Plk_Lesiak,"While advancing at a breakneck speed for most of the runtime, this series is a lovely romance story that does the isekai formula better than any other with a female"
2208,Isekai Meikyuu de Harem wo,2022-12-10,Bennedict_929,"This entire show is basically a big long list of answers for FAQ regarding isekai anime, particularly in the game-esque genre. The entire mechanics and rules of the world is"
2209,Kotarou wa Hitorigurashi,2022-12-10,Tatakae-Kun,This was one of my first Slice of Life anime's I have watched and it peaked my interest from the preview that Netflix shows. This was one of the most
2210,One Piece,2022-12-10,Tatakae-Kun,"Story: The story is awesome, the best ever made probably. Eiichiro Oda (the mangaka) is a genius of all geniuses, he come up with all this awesome stuff and make"
2211,Koe no Katachi,2022-12-10,AnimeSrk,"Good one watch it, the story of school life, the friend's interaction, the fun and hard times of childhood, the problems and depressions of youth, bullying, etc., were very well"
2212,Akuyaku Reijou nano de Last Boss wo Kattemimashita,2022-12-10,GG-WP,"A fantastic comedy in which you can't help but admire Aileen, the main heroine, and one who was reborn into the world of an otome game as the villain. Does"
2213,Serial Experiments Lain,2022-12-10,Hon3yPie,"(Sorry for any mistakes, English is not my first language) Serial Experiments Lain is an anime that addresses topics such as suicide, identity, reality, technology and society. It can be"
2214,Lovely★Complex,2022-12-10,HatTrkPatrk,"This anime is as generic-rom-com as it gets, with mostly-predictable plot lines and little excitement other than the will-they-won't-they of its relationships. It's got everything you'd expect, from the beach"
2215,Lycoris Recoil,2022-12-10,Ironaditya,Lycoris Recoil was a banger through and through. Coming out as a surprise hit given the fact that there was another original Engage Kiss by A1 Pictures in the same
2216,Blame! Movie,2022-12-10,Gaurang1,"This will be my very first review on MAL so bear with me. Also, this one's going to be very short. So... Storyline - 10/10 Blame is a great movie,"
2169,Kill la Kill,2022-12-11,Re1612,"Nonsensical, fun, and badass. Turn off your brain and try not to think too much for this one otherwise you'll end up like one of the many haters posting negative"
2170,Jahy-sama wa Kujikenai!,2022-12-11,Re1612,"This is a comfort show of mine. Humour is subjective and you'll either love or hate this show. Regardless of which side you are on, it's important to remember that"
2171,Jujutsu Kaisen,2022-12-11,AccessCodeTalker,"Jujutsu Kaisen served as my reintroduction to the anime world after a rather long hiatus, and managed to feel like a breath of fresh air in what feels like a"
2172,One Piece,2022-12-11,brunopanigassi,"Plot (10/10) There is no animated work of fiction that has performed a greater worldbuilding than One Piece. Cultures, civilizations, power relations, it's a world with an impressive wealth of"
2173,Yuukoku no Moriarty Part 2,2022-12-11,Thatwaffle,I'll keep it short as much of what I would like to say I've already said in my review of the first season. There were two things I the secound
2174,Bokusatsu Tenshi Dokuro-chan,2022-12-11,Re1612,This anime is not supposed to be taken seriously and this is made unambiguously clear from its silly premise and your first 10 seconds of watching this show. That being
2175,5-toubun no Hanayome,2022-12-11,Sakamoto9000,"To start off, the main male protagonist isn't a sex addict, which is somewhat usually the case, because most main male protags are usually kind of clueless to the harem"
2176,Oemojisangjuui,2022-12-11,Nrst21,"With its incredible source material (written by PTJ), catchy opening K-pop track (ATEEZ), and stunning animation (Studio Mir—same studio responsible for Korra), Lookism has easily become one of my favorite"
2177,Deca-Dence,2022-12-11,sir_glitch,This show is such an underrated sleeper that it goes to show what can be accomplished in 12 short episodes if the writers actually cared about how the plot comes
2178,Steins;Gate,2022-12-11,brunopanigassi,"Plot (10/10) The script is relatively complex and unpredictable, it's not easy to work with the theme of time travel, but the writers managed to put together the story very"
2179,Bleach: Sennen Kessen-hen,2022-12-11,DaBraveToaster,"As someone who watched the original every Tuesday, this shit slaps. Animation quality is amazing. I personally wish the fights were a bit longer, but I see the pacing they"
2180,Isekai Ojisan,2022-12-11,Mywifesson,"Hey do you think a reference to something is a joke, have you ever watched lucky star and laughed because wow i know that thing! thats an anime i watched!"
2181,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,2022-12-11,Hikioyukioyui567,"I will put it briefly: I'm not a big JoJo's fan. I only watched some moments from Stardust Crusaders and that's all. However, Stone Ocean was beyond my expectations. Truly,"
2182,Oemojisangjuui,2022-12-11,Terha,"Honestly enjoyed it overall, I had read most of the original WEBTOON before and then watched this in the original Korean with English subs because though I’m technically Korean I’m"
2183,Kageki Shoujo!!,2022-12-11,Potato-Chhan,"Kageki Shoujo is the kind of series that you really dont know if you wanna continue watching after the first episode but after watching a little more, you cant stop!"
2184,Renai Flops,2022-12-11,THE-LAW,"\"Dont look up spoilers for this show. Go into it as blind as possible. If you watch the first couple episodes and think: \"\"Man"
2185,Majo no Takkyuubin,2022-12-11,animegirlblood,"Leaving your home village to move to a town or city, for work or school, or becoming a witch, are the two most exciting things a woman can do. Miyazaki"
2186,Akuyaku Reijou nano de Last Boss wo Kattemimashita,2022-12-11,NekoCatSidhe,"That was a pretty good show. The beginning felt derivative of My Next Life as a Villainess, but then it went in a completely different direction, concentrating on the romance"
2187,Ryuu to Sobakasu no Hime,2022-12-11,Weebbe,"Belle/Ryuu no Sobakasu no Hime review, originally written for my Letterboxd account Belle is the newest film from Mamoru Hosoda, and a modern retelling of sorts of the classic tale"
2188,Iya na Kao sare nagara Opantsu Misete Moraitai,2022-12-11,UnknownGhost5,The name is pretty self explanatory. This is an anime about girls showing you their panties while looking at you in disgust. I feel like some people are taking this
2189,Tenki no Ko,2022-12-11,AnimeSrk,"Must recommend, watch it. It has good visuals, and the art style and animation was also good. The plot was unique for me, at the end gave me your name"
2190,Kono Subarashii Sekai ni Shukufuku wo!,2022-12-11,SimplyTom01,Ok its official konosuba is by a country mile the best comedy anime I have ever seen. The amount of times i have had to rewind parts of the show
2191,Cutey Honey F,2022-12-11,ProudElitist,I'll start this review by pointing out that I sincerely don't understand why there is a claim circulating that this is some sort of Sailor Moon spin-off. The production team
2192,Fumetsu no Anata e,2022-12-11,knightmare84,"Absolutely heart wrenching. A beautiful anime that kept you guessing. You would attach to characters, then when you think the story has moved on. Something brings them back into the"
2149,Totsuzen! Neko no Kuni Banipal Witt,2022-12-12,stacistasis,I probably last watched Catnapped when I was 5 years old. The animation left such a strong impression on me back then that I have been searching for this movie
2150,Sekai no Owari ni Shiba Inu to,2022-12-12,GabeLucario,"At heart, Doomsday with my Dog is a comedy show. Initially I was drawn in by its name and the prospect of venturing through the remains of a destroyed world"
2151,BNA,2022-12-12,ColonFish,"I love this anime! It shows a great story, music, animation and characters. Story The story is amazing! It shows a world where beastman - which are anthropomorphic characters -"
2152,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,2022-12-12,bossunhimeswitch,"Stone Ocean starts slow but quickly gains speed and finishes in a flourish. Part three is the best of the three parts. All of the stakes are in place, there's"
2153,Yokohama Kaidashi Kikou,2022-12-12,OG_Otaku,Is it even possible to have spoilers for this anime? Highly recommended AFTER reading the manga. I don't think I would have enjoyed it prior to the manga. It has
2154,Oemojisangjuui,2022-12-12,Sanzuwu,"Firstly, I need to say that Lookism is a great story, and a good adaptation. It has one glaring negative - that being the pacing. As the 8 episodes attempt"
2155,One Piece,2022-12-12,Iamvladk,"“Power isn't determined by your size, but the size of your heart and dreams!” ...[Monkey D. Luffy] In my opinion , One Piece is an incredibly popular anime, known for"
2156,Battle Athletess Daiundoukai (TV),2022-12-12,KoopaKlown,I discovered Battle Athletes Victory when I asked a guy at an anime convention “Do you know any good anime that are really obscure?” and he responded “Have you seen
2157,Oemojisangjuui,2022-12-12,zenbal_,"The main character in Lookism is an outcast, but not the typical, average-looking loser we are often presented in media. He is the type of outcast whose appearance evokes revulsion"
2158,Chainsaw Man,2022-12-12,unknownanimename,"well first thing is, this contain SPOILERS for anime, not manga, why spoiler though? I'm roasting those 1 star voting (THOSE WHO WACTHED ONLY EP 1 TO 3, YOU'RE COOL,"
2159,Higurashi no Naku Koro ni,2022-12-12,Re1612,Let's start this review with the obligatory 'the VN is better than the anime'. Now that's out of the way: Horror and anime. It's a duo that is usually never
2160,Shokugeki no Souma,2022-12-12,Re1612,"Before Shokugeki no Souma, I had given up on MCs in mainstream animes being interesting. It's always either the weak hearted MC that gradually grows throughout the anime with the"
2161,Tenkuu Shinpan,2022-12-12,SpringfieldM1903,"\"Overall, a decent action anime with relatively entertaining \"\"plot\"\". Don't expect anything groundbreaking or genre defining"
2162,D4DJ First Mix,2022-12-12,iNDiGOxNOiSE,"To kinda keep some of my biases separate, this review is split into two parts. The first being my thoughts on the show as a show (the standard “review”, if"
2163,Stranger: Mukou Hadan,2022-12-12,Gameboon,Sword of the Stranger had been on my pile of unwatched series and movies for a long time. I actually knew very little about the movie before going in. And
2164,Tengen Toppa Gurren Lagann,2022-12-12,ThorLL,"Crazy fangirls scream unintelligible mad praise of Kamina, like banshees. I am not a fan nor a girl, so I can give somewhat balanced review here. It is not bad."
2165,Zetsuen no Tempest,2022-12-12,MidoriStars,"\"\"\"The whole world is a theatre"
2166,Oemojisangjuui,2022-12-12,Robertoweeblover,I enjoyed this series a 10/10 in my book plus for the first time in a long time I watched this series in Spanish and gotta say it hits differently
2167,Blue Lock,2022-12-12,The_Weekly_Jay,"\"\"\"Blue Lock\"\" has been a weekly treat that is often looked forward to"
2168,Oemojisangjuui,2022-12-12,AliceDuality,"Reading some of the comments I dare to think that the people who write this do not really know life. First of all, the violence that is shown here is"
2133,Henkei Shoujo,2022-12-13,Trhyskii,"A truly innovative piece of art, showcasing how people change through tough transformations. Like before watching this anime I did not think it was possible to turn into a car,"
2134,Usagi Drop,2022-12-13,Summer_Breeze,"\"Marvelous! \"\"Usagi Drop\"\" has become my feel-good anime. My ultimate stress reliever. The reasons why it is rated \"\"PG-13\"\" were very evident from the first viewing but it is simply\""
